State FIPS Code,Premature Death Black,Premature Death White,FIPS Code
08,14007.859143,7896.9979499,08001
08,,9544.7057386,08003
08,10750.59836,6074.6352392,08005
08,,7875.8722542,08007
08,,18227.249797,08009
08,,11423.338878,08011
08,9184.419731,4453.8210425,08013
08,,4574.4275474,08014
08,,6820.0875122,08015
08,,15163.753987,08017
08,,4408.9925647,08019
08,,11648.133375,08021
08,,23112.499201,08023
08,,20109.132771,08025
08,,7869.1220733,08027
08,,10224.710397,08029
08,15257.277596,6069.9558299,08031
08,,6649.2777139,08033
08,6586.2102258,4157.7399537,08035
08,,4157.2232707,08037
08,,6840.9179999,08039
08,14989.168049,8939.1683899,08041
08,,10974.973517,08043
08,,5993.2813476,08045
08,,7179.2822186,08047
08,,6881.6333841,08049
08,,3807.847945,08051
08,,,08053
08,,13406.00238,08055
08,,,08057
08,14025.351838,6126.4473439,08059
08,,11502.152836,08061
08,,10899.546414,08063
08,,8854.3492916,08065
08,,5708.4038111,08067
08,8423.0889578,5680.5476311,08069
08,,10991.008902,08071
08,,7233.3158406,08073
08,,12716.508937,08075
08,,8720.7171043,08077
08,,,08079
08,,11651.569498,08081
08,,8690.872773,08083
08,,9376.8765017,08085
08,,10269.104735,08087
08,,11826.747636,08089
08,,3499.7290865,08091
08,,7458.4518443,08093
08,,9947.6178713,08095
08,,3800.4537169,08097
08,,11338.954755,08099
08,14708.255171,12159.323933,08101
08,,6909.6335233,08103
08,,12205.182579,08105
08,,4985.728304,08107
08,,7452.1378801,08109
08,,,08111
08,,6579.5917953,08113
08,,12583.649511,08115
08,,3695.6958512,08117
08,,8770.6142792,08119
08,,10696.608853,08121
08,7521.5385055,6490.6246663,08123
08,,7025.1282285,08125
09,10878.149648,6225.7952312,09000
09,9024.3343283,4458.5854293,09001
09,10968.390176,6344.9885027,09003
09,6951.4280377,7115.2722623,09005
09,10915.946466,5763.3408223,09007
09,12664.379798,6956.8714295,09009
09,13351.470794,7771.4827256,09011
09,9354.0021498,6249.9399288,09013
09,10097.271616,7873.9863423,09015
09,,,09110
09,,,09120
09,,,09130
09,,,09140
09,,,09150
09,,,09160
09,,,09170
09,,,09180
09,,,09190
10,12171.082691,8775.4224891,10000
10,12011.089726,10186.417653,10001
10,12078.354673,8265.1649987,10003
10,13209.76741,9092.5741564,10005
11,16838.791514,2449.1636093,11000
11,16838.791514,2449.1636093,11001
12,12125.521037,9383.9090563,12000
12,13644.58542,6927.2751451,12001
12,10813.219685,11211.994354,12003
12,14923.376357,11552.563581,12005
12,10071.426727,11933.275953,12007
12,15559.677729,10849.272744,12009
12,10107.316452,8756.2508328,12011
12,8772.5945615,11952.814935,12013
12,8052.1529309,10738.0438,12015
12,21425.168301,15094.422648,12017
12,9730.7451786,10319.619676,12019
12,8381.5915265,7377.4593379,12021
12,15750.293946,12510.230648,12023
12,16002.723992,14027.918594,12027
12,10166.769816,13536.212684,12029
12,14555.561999,11330.055086,12031
12,16782.99812,11875.645901,12033
12,11675.020933,9253.169877,12035
12,12284.675535,11027.700356,12037
12,15999.016835,9845.3522989,12039
12,,10111.350143,12041
12,15445.864118,10813.974876,12043
12,15784.798764,10556.423701,12045
12,17483.440599,13402.790332,12047
12,13035.88746,13028.271049,12049
12,17848.220139,12257.21097,12051
12,12773.84306,12593.005904,12053
12,15822.335009,14471.244629,12055
12,12180.314677,8062.9943917,12057
12,,14535.995908,12059
12,15189.631576,9514.117918,12061
12,14389.632281,14205.526388,12063
12,11921.424096,9063.1025708,12065
12,,12095.024899,12067
12,11100.954716,9962.6495319,12069
12,11923.968451,9291.3860675,12071
12,11392.738812,7605.5794603,12073
12,14523.723736,11474.623548,12075
12,8441.8547,11616.879077,12077
12,13585.602702,11765.801835,12079
12,13635.259408,8597.0950779,12081
12,14453.173022,13671.225953,12083
12,8068.3560549,7337.2812753,12085
12,13420.66903,6847.1548,12086
12,10340.251134,8812.3417098,12087
12,12740.757599,9855.7451285,12089
12,13098.314816,9477.2056287,12091
12,11658.880941,14571.300874,12093
12,10607.180152,6782.1138484,12095
12,9414.8631006,9148.5926327,12097
12,10373.577866,7774.2770971,12099
12,9461.4487069,11262.186369,12101
12,14354.759768,9358.3420143,12103
12,13245.743383,10531.427002,12105
12,20675.088222,16035.322633,12107
12,11283.858649,5917.8723896,12109
12,11036.69289,9526.5406104,12111
12,8549.5180653,8800.5789007,12113
12,14174.292678,8668.4256027,12115
12,11583.50615,7166.9129875,12117
12,12171.012069,12141.147696,12119
12,12386.679894,13096.405845,12121
12,14141.060796,12472.827415,12123
12,16084.652855,17325.705583,12125
12,14176.735965,12356.445889,12127
12,7771.4717711,9677.4960889,12129
12,9092.4924092,9536.9058111,12131
12,13278.517517,11114.075188,12133
13,12116.354645,9080.4305974,13000
13,18540.026396,14519.60902,13001
13,18787.421869,17862.927766,13003
13,18993.712458,16502.264412,13005
13,16990.159489,18381.601368,13007
13,13389.453923,12190.46916,13009
13,,10832.990729,13011
13,10942.364676,9924.3559541,13013
13,13930.138797,10994.564253,13015
13,17276.771669,14425.220545,13017
13,18570.963902,14310.30094,13019
13,17353.840464,12514.431485,13021
13,18607.369866,12131.392475,13023
13,,15262.029817,13025
13,14700.979022,8717.851314,13027
13,12076.111336,9977.0832085,13029
13,12245.757485,8089.2347713,13031
13,14952.722547,10935.243535,13033
13,11381.877925,12950.349763,13035
13,13617.945925,11191.935986,13037
13,10428.182293,8777.2565246,13039
13,18489.243929,19228.738555,13043
13,14561.812138,11416.778294,13045
13,9527.805383,9897.3412456,13047
13,8758.2516641,14233.620652,13049
13,13180.790411,8989.7885599,13051
13,15597.23415,10447.391283,13053
13,14714.16411,15049.940084,13055
13,6912.7645767,5766.3759335,13057
13,12223.725256,7267.2680312,13059
13,16504.564615,21640.588521,13061
13,11670.465315,18660.782548,13063
13,22533.307072,10730.491253,13065
13,8375.8748906,6037.6477082,13067
13,14694.51879,12939.783463,13069
13,18101.981546,13058.153964,13071
13,8276.2251451,7452.1301782,13073
13,17614.918424,12333.370729,13075
13,12089.115476,8180.8459757,13077
13,7923.7382378,16410.20966,13079
13,21530.867303,13329.996423,13081
13,,12486.936931,13083
13,,8756.4084672,13085
13,17142.407218,13118.253725,13087
13,11335.997109,4950.6922113,13089
13,18826.416492,12704.462349,13091
13,16150.277391,12298.250699,13093
13,16342.620666,15868.231313,13095
13,8710.9154975,10987.779777,13097
13,19105.15416,14884.643583,13099
13,,10778.94504,13101
13,9820.7571865,9958.67951,13103
13,18001.905422,13830.95504,13105
13,17343.079754,13235.213893,13107
13,19056.083379,13051.517919,13109
13,,12891.968629,13111
13,8952.561492,5797.9234863,13113
13,16136.983364,11759.119873,13115
13,5000.5798445,4991.1372241,13117
13,14601.117506,12416.455417,13119
13,13065.534998,4636.7529186,13121
13,,11509.500616,13123
13,,10809.022594,13125
13,14500.717403,11571.123541,13127
13,19869.26713,12237.670628,13129
13,16125.778166,9820.9019538,13131
13,15395.554232,8785.9306781,13133
13,7408.6507131,6935.3890069,13135
13,13364.519852,10915.688714,13137
13,13080.21822,8625.0976438,13139
13,17144.212318,14892.069113,13141
13,18780.113556,12928.167003,13143
13,11928.7595,6985.1483604,13145
13,14689.450579,10441.46842,13147
13,12067.142318,15366.167436,13149
13,9476.0858288,10025.075381,13151
13,11606.422747,9181.772536,13153
13,15846.030499,11197.08518,13155
13,9714.6605705,9739.532301,13157
13,16801.957524,10578.934867,13159
13,16350.35903,14218.40173,13161
13,19319.318357,12853.549125,13163
